2025-10-24 18:17:21,801 INFO    StreamThr :70253 [internal.py:wandb_internal():86] W&B internal server running at pid: 70253, started at: 2025-10-24 18:17:21.800996
2025-10-24 18:17:21,802 DEBUG   HandlerThread:70253 [handler.py:handle_request():146] handle_request: status
2025-10-24 18:17:21,803 INFO    WriterThread:70253 [datastore.py:open_for_write():85] open: /home/cole/repos/IWoL/MetaDrive/results/MetaDrive/intersection_small/ImIWoL/check/wandb/run-20251024_181721-75e3l3ju/run-75e3l3ju.wandb
2025-10-24 18:17:21,803 DEBUG   SenderThread:70253 [sender.py:send():380] send: header
2025-10-24 18:17:21,821 DEBUG   SenderThread:70253 [sender.py:send():380] send: run
2025-10-24 18:17:22,098 DEBUG   HandlerThread:70253 [handler.py:handle_request():146] handle_request: check_version
2025-10-24 18:17:22,098 INFO    SenderThread:70253 [dir_watcher.py:__init__():211] watching files in: /home/cole/repos/IWoL/MetaDrive/results/MetaDrive/intersection_small/ImIWoL/check/wandb/run-20251024_181721-75e3l3ju/files
2025-10-24 18:17:22,098 INFO    SenderThread:70253 [sender.py:_start_run_threads():1122] run started: 75e3l3ju with start time 1761347841.800854
2025-10-24 18:17:22,098 DEBUG   SenderThread:70253 [sender.py:send_request():407] send_request: check_version
2025-10-24 18:17:22,153 DEBUG   HandlerThread:70253 [handler.py:handle_request():146] handle_request: run_start
2025-10-24 18:17:22,163 DEBUG   HandlerThread:70253 [system_info.py:__init__():32] System info init
2025-10-24 18:17:22,163 DEBUG   HandlerThread:70253 [system_info.py:__init__():47] System info init done
2025-10-24 18:17:22,163 INFO    HandlerThread:70253 [system_monitor.py:start():194] Starting system monitor
2025-10-24 18:17:22,163 INFO    SystemMonitor:70253 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-10-24 18:17:22,163 INFO    HandlerThread:70253 [system_monitor.py:probe():214] Collecting system info
2025-10-24 18:17:22,164 INFO    SystemMonitor:70253 [interfaces.py:start():190] Started cpu monitoring
2025-10-24 18:17:22,164 INFO    SystemMonitor:70253 [interfaces.py:start():190] Started disk monitoring
